IC1,IC2,IC3,IC4
-2.93,-2.08,-0.39,1.15
-3.83,-1.12,-2.67,0.95
-3.45,-1.08,-0.74,1.08
-3.60,-0.91,-2.65,0.99
-3.38,-1.20,-1.66,1.13
-3.36,-1.33,-1.02,1.03
-3.43,-1.62,-1.64,1.04
-3.41,-1.43,-1.01,1.06
-3.66,-0.93,-2.00,0.96
-3.28,-1.21,-0.07,1.09
-3.43,-1.35,-0.37,1.12
-3.32,-1.32,-0.06,1.12
-3.30,-1.44,-1.05,1.02
-3.47,-1.41,-0.74,1.02
-3.45,-1.22,-0.91,1.05
-3.34,-1.18,-0.61,1.05
-3.22,-1.33,-0.90,1.08
-3.48,-1.14,-0.27,1.05
-3.73,-0.64,-2.07,0.95
-3.35,-1.23,-0.95,1.07
-3.35,-1.18,-0.52,1.05
-3.22,-1.32,-0.82,1.09
-3.39,-1.28,-0.51,1.09
-3.37,-1.09,-0.69,1.11
-2.88,-1.70,1.12,1.19
-3.42,-1.20,-0.68,1.09
-3.46,-1.05,-0.28,1.08
-3.33,-1.19,-0.58,1.05
-3.76,-0.70,-1.68,0.97
-3.48,-1.28,-0.44,1.08
-3.35,-1.11,0.07,1.05
-3.34,-0.99,-0.60,1.04
-3.21,-1.13,-0.08,1.08
-3.29,-1.18,-0.42,1.09
-3.52,-0.79,-0.67,1.03
-3.59,-0.84,-1.01,1.04
-3.49,-1.11,0.11,1.04
-3.47,-0.92,-0.88,1.00
-3.43,-0.67,-0.53,1.03
-3.51,-0.72,-0.87,1.04
-3.58,-0.76,-0.40,1.05
-3.66,-0.81,-0.74,1.06
-3.53,-0.64,-1.03,1.04
-3.61,-0.68,-0.56,1.05
-3.58,-0.74,-1.02,1.01
-3.26,-1.12,0.14,1.10
-3.71,-0.38,-1.49,0.95
-3.60,-0.66,-0.38,1.01
-3.75,-0.49,-1.48,0.99
-3.69,-0.54,-1.01,1.00
-3.70,-0.36,-1.31,0.98
-3.48,-0.66,-0.31,1.05
-3.74,-0.47,-1.29,0.95
-3.39,-1.08,0.51,1.09
-3.54,-0.75,-0.59,1.00
-3.58,-0.62,-0.00,1.00
-3.52,-0.67,-0.34,1.01
-3.67,-0.50,-1.04,0.99
-3.61,-0.70,-0.17,1.03
-3.76,-0.37,-0.87,0.97
-3.51,-0.65,-0.16,1.04
-3.52,-0.63,-0.05,1.01
-3.60,-0.68,-0.39,1.02
-3.35,-0.80,0.33,1.08
-3.79,-0.38,-0.90,0.96
-3.54,-0.66,-0.19,1.03
-3.48,-0.54,-0.12,1.04
-3.77,-0.37,-0.82,0.98
-3.48,-0.53,-0.03,1.02
-3.63,-0.36,-0.33,0.99
-3.61,-0.52,0.06,1.03
-3.46,-0.68,0.45,1.04
-3.47,-0.51,0.16,1.01
-3.65,-0.39,-0.47,1.01
-3.66,-0.21,-0.76,0.99
-3.65,-0.38,-0.38,0.99
-3.56,-0.54,0.01,1.03
-3.57,-0.42,0.08,1.01
-3.76,-0.24,-0.50,0.97
-3.56,-0.49,0.17,1.02
-3.61,-0.36,-0.05,1.00
-3.65,-0.31,-0.07,1.00
-3.56,-0.48,0.32,1.02
-3.85,-0.09,-0.79,0.94
-3.49,-0.47,0.41,1.05
-3.77,-0.16,-0.49,0.97
-3.69,-0.25,-0.10,0.99
-3.77,-0.07,-0.40,0.97
-3.68,-0.24,-0.01,0.99
-3.76,-0.06,-0.30,0.96
-3.68,-0.19,-0.12,0.98
-3.64,-0.25,0.11,1.00
-3.48,-0.41,0.60,1.04
-3.60,-0.24,0.20,1.01
-3.71,-0.15,-0.09,0.98
-3.61,-0.23,0.29,1.00
-3.69,-0.12,-0.00,0.98
-3.63,-0.19,0.26,0.99
-3.57,-0.26,0.51,1.01
-3.66,-0.14,0.22,0.99
-3.55,-0.26,0.61,1.03
-3.80,0.06,-0.26,0.95
-3.72,-0.04,0.07,0.97
-3.80,0.09,-0.23,0.96
-3.72,0.01,0.05,0.98
-3.84,0.14,-0.29,0.94
-3.72,-0.00,0.15,0.98
-3.62,-0.11,0.48,1.01
-3.72,0.01,0.19,0.98
-3.62,-0.09,0.50,1.00
-3.39,-0.35,1.41,1.07
-3.98,0.39,-0.70,0.90
-3.89,0.31,-0.31,0.92
-3.81,0.18,0.07,0.94
-3.89,0.31,-0.22,0.92
-3.84,0.23,-0.03,0.94
-3.92,0.32,-0.33,0.92
-3.88,0.30,-0.10,0.93
-3.72,0.14,0.49,0.98
-3.64,-0.02,0.67,1.00
-3.79,0.23,0.18,0.94
-3.70,0.14,0.57,0.98
-3.55,-0.09,1.16,1.02
-3.55,-0.06,1.22,1.03
-4.11,0.59,-0.65,0.87
-4.02,0.51,-0.26,0.91
-4.11,0.60,-0.56,0.86
-4.02,0.60,-0.17,0.89
-3.96,0.55,-0.51,0.90
-4.04,0.72,-0.81,0.88
-4.02,0.56,-0.42,0.88
-3.70,0.23,0.65,0.98
-3.68,0.06,1.04,0.99
-3.95,0.66,-0.07,0.88
-3.94,0.50,0.32,0.92
-3.62,0.16,0.99,1.02
-3.60,-0.00,1.38,1.02
-4.18,0.92,-0.82,0.86
-3.59,0.01,1.47,1.03
-4.26,1.05,-1.05,0.85
-3.54,0.13,1.65,1.02
-4.03,0.79,-0.23,0.89
-3.59,0.03,1.66,1.03
-4.26,1.07,-0.86,0.84
-4.15,0.79,-0.15,0.87
-4.08,0.75,-0.09,0.88
-3.84,0.63,0.22,0.91
-3.91,0.58,0.29,0.92
-3.92,0.60,0.80,0.90
-4.08,0.77,-0.30,0.88
-3.75,0.30,1.38,0.97
-4.24,0.95,-0.89,0.83
-3.52,0.19,2.21,1.00
-4.14,0.85,-0.07,0.87
-4.08,0.80,-0.41,0.88
-4.23,1.29,-0.71,0.85
-4.17,1.24,-1.05,0.80
-3.66,0.39,1.29,0.94
-3.74,0.34,0.95,0.95
-4.36,1.31,-0.52,0.82
-4.16,1.26,-0.86,0.83
-4.05,0.98,0.26,0.89
-4.13,0.94,-0.08,0.90
-4.00,1.11,0.43,0.88
-3.89,0.83,0.74,0.94
-4.04,1.00,0.44,0.85
-3.84,0.65,0.91,0.92
-3.91,0.91,0.57,0.93
-3.81,0.64,1.69,1.00
-3.96,0.81,0.59,0.91
-3.75,0.76,1.06,0.92
-3.65,0.49,1.36,0.98
-3.72,0.44,1.83,0.99
-3.97,1.01,0.53,0.87
-3.67,0.57,2.01,0.98
-4.02,1.22,0.54,0.84
-4.55,1.41,-0.45,0.74
-4.17,1.13,0.67,0.87
-4.04,0.99,0.37,0.91
-4.47,1.47,-0.73,0.76
-3.82,0.75,1.80,0.97
-4.08,1.25,0.81,0.87
-4.13,1.09,0.40,0.86
-4.11,1.28,0.22,0.88
-4.00,1.31,0.53,0.88
-3.72,0.74,1.76,0.99
-4.35,1.70,-0.52,0.79
-3.98,1.29,0.39,0.87
-3.70,0.72,1.63,0.98
-3.59,0.75,1.93,0.98
-4.05,1.11,0.58,0.89
-4.22,1.14,0.89,0.89
-3.83,0.87,2.82,0.95
-3.98,1.35,0.90,0.86
-4.13,1.21,0.61,0.90
-4.01,1.38,0.31,0.82
-4.18,1.10,0.62,0.94
-4.05,1.27,0.32,0.85
-4.03,1.46,0.96,0.88
-4.46,1.63,-0.96,0.79
-4.07,1.04,0.97,0.91
-3.96,1.08,1.28,0.91
-4.22,1.58,0.29,0.81
-4.10,1.12,1.61,0.85
-4.53,1.92,-0.30,0.77
-4.14,1.33,1.63,0.89
-4.01,1.50,1.33,0.93
-4.44,1.67,-0.58,0.72
-4.06,1.08,1.34,0.84
-3.95,1.12,1.65,0.84
-3.93,1.62,0.66,0.86
-4.36,1.16,1.99,0.90
-4.23,1.96,0.07,0.81
-4.66,2.13,-0.22,0.73
-4.27,1.54,1.71,0.85
-3.67,0.92,3.39,1.00
-4.32,1.75,1.72,0.89
-4.30,1.62,0.73,0.79
-3.91,1.66,1.04,0.91
-4.34,1.20,0.74,0.83
-3.95,1.24,1.05,0.82
-3.57,1.28,2.98,0.95
-4.11,1.78,1.99,0.85
-4.45,2.11,-0.29,0.77
-3.59,1.36,3.62,1.01
